Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Unit_Price,Quantity,Revenue,Profit,Channel,Year,Month_Name,Quarter
Walmart,1185732,2020-04-29,Northeast,New York,New York,Men's Street Footwear,65.00,1150,74750,37375.00,Outlet,2020,April,2
Walmart,1185732,2020-04-21,Northeast,New York,New York,Men's Street Footwear,60.00,1200,72000,36000.00,Outlet,2020,April,2
Walmart,1185732,2020-04-28,Northeast,New York,New York,Women's Apparel,70.00,1000,70000,17500.00,Outlet,2020,April,2
Walmart,1185732,2020-04-20,Northeast,New York,New York,Women's Apparel,65.00,1075,69875,17468.75,Outlet,2020,April,2
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,65.00,1000,65000,16250.00,Outlet,2020,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Men's Street Footwear,60.00,1075,64500,29025.00,In-store,2020,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Men's Street Footwear,55.00,1070,58850,26482.50,In-store,2020,April,2
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Apparel,65.00,875,56875,17062.50,Outlet,2020,April,2
Walmart,1185732,2020-04-22,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000,55000,16500.00,Outlet,2020,April,2
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Apparel,60.00,900,54000,16200.00,Outlet,2020,April,2
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,60.00,900,54000,16200.00,Outlet,2020,April,2
Walmart,1185732,2020-04-30,Northeast,New York,New York,Men's Athletic Footwear,55.00,975,53625,16087.50,Outlet,2020,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Women's Apparel,65.00,825,53625,26812.50,In-store,2020,April,2
West Gear,1128299,2020-04-21,West,Colorado,Denver,Women's Apparel,85.00,625,53125,15937.50,In-store,2020,April,2
Kohl's,1189833,2021-04-26,West,California,Los Angeles,Women's Apparel,65.00,800,52000,10400.00,Outlet,2021,April,2
West Gear,1128299,2020-04-28,West,Colorado,Denver,Men's Street Footwear,70.00,725,50750,22837.50,In-store,2020,April,2
West Gear,1128299,2020-04-29,West,Colorado,Denver,Men's Athletic Footwear,75.00,675,50625,15187.50,In-store,2020,April,2
West Gear,1128299,2020-04-22,West,Colorado,Denver,Men's Street Footwear,65.00,775,50375,22668.75,In-store,2020,April,2
Sports Direct,1197831,2021-04-25,South,Tennessee,Knoxville,Women's Street Footwear,50.00,950,47500,21375.00,Outlet,2021,April,2
Foot Locker,1185732,2020-04-02,Northeast,New York,New York,Women's Athletic Footwear,50.00,925,46250,16187.50,Outlet,2020,April,2
Walmart,1185732,2020-04-23,Northeast,New York,New York,Women's Street Footwear,50.00,925,46250,16187.50,Outlet,2020,April,2
Foot Locker,1185732,2020-04-26,Southeast,Florida,Miami,Men's Street Footwear,45.00,1025,46125,20756.25,In-store,2020,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Men's Athletic Footwear,55.00,825,45375,15881.25,In-store,2020,April,2
Sports Direct,1197831,2021-04-22,South,Tennessee,Knoxville,Women's Apparel,55.00,825,45375,27225.00,Outlet,2021,April,2
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,45000,15750.00,Outlet,2020,April,2
West Gear,1128299,2020-04-27,West,Colorado,Denver,Women's Apparel,85.00,525,44625,11156.25,In-store,2020,April,2
West Gear,1128299,2020-04-23,West,Colorado,Denver,Men's Athletic Footwear,70.00,625,43750,13125.00,In-store,2020,April,2
Sports Direct,1197831,2021-04-16,South,Tennessee,Knoxville,Women's Apparel,50.00,875,43750,24062.50,Outlet,2021,April,2
West Gear,1128299,2020-04-16,West,Colorado,Denver,Men's Street Footwear,60.00,725,43500,21750.00,In-store,2020,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Men's Apparel,60.00,725,43500,15225.00,In-store,2020,April,2
Kohl's,1189833,2021-04-27,West,California,Los Angeles,Men's Street Footwear,45.00,950,42750,17100.00,Outlet,2021,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Men's Athletic Footwear,55.00,775,42625,14918.75,In-store,2020,April,2
Sports Direct,1197831,2021-04-24,South,Tennessee,Knoxville,Men's Athletic Footwear,55.00,775,42625,19181.25,Outlet,2021,April,2
Kohl's,1189833,2021-04-20,West,California,Los Angeles,Women's Apparel,65.00,625,40625,8125.00,Outlet,2021,April,2
Kohl's,1189833,2021-04-21,West,California,Los Angeles,Men's Street Footwear,45.00,900,40500,16200.00,Outlet,2021,April,2
West Gear,1128299,2020-04-24,West,Colorado,Denver,Women's Street Footwear,70.00,575,40250,18112.50,In-store,2020,April,2
Kohl's,1189833,2021-04-28,West,California,Los Angeles,Men's Athletic Footwear,50.00,800,40000,10000.00,Outlet,2021,April,2
Sports Direct,1197831,2021-04-28,South,Tennessee,Knoxville,Women's Apparel,55.00,725,39875,23925.00,Outlet,2021,April,2
Kohl's,1189833,2021-04-14,West,California,Los Angeles,Women's Apparel,65.00,600,39000,7800.00,Outlet,2021,April,2
Sports Direct,1197831,2021-04-19,South,Tennessee,Knoxville,Women's Street Footwear,40.00,975,39000,17550.00,Outlet,2021,April,2
West Gear,1128299,2020-04-30,West,Colorado,Denver,Women's Street Footwear,70.00,550,38500,17325.00,In-store,2020,April,2
West Gear,1128299,2020-04-15,West,Colorado,Denver,Women's Apparel,80.00,475,38000,11400.00,In-store,2020,April,2
Kohl's,1189833,2021-04-22,West,California,Los Angeles,Men's Athletic Footwear,50.00,750,37500,9375.00,Outlet,2021,April,2
Kohl's,1189833,2021-04-23,West,California,Los Angeles,Women's Street Footwear,50.00,750,37500,15000.00,Outlet,2021,April,2
Kohl's,1189833,2021-04-29,West,California,Los Angeles,Women's Street Footwear,50.00,750,37500,15000.00,Outlet,2021,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Women's Street Footwear,50.00,750,37500,9375.00,In-store,2020,April,2
West Gear,1128299,2020-04-17,West,Colorado,Denver,Men's Athletic Footwear,65.00,575,37375,13081.25,In-store,2020,April,2
West Gear,1128299,2020-04-18,West,Colorado,Denver,Women's Street Footwear,65.00,575,37375,18687.50,In-store,2020,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Men's Apparel,55.00,675,37125,12993.75,In-store,2020,April,2
Sports Direct,1197831,2021-04-18,South,Tennessee,Knoxville,Men's Athletic Footwear,45.00,825,37125,16706.25,Outlet,2021,April,2
West Gear,1185732,2021-04-11,Northeast,New York,Albany,Men's Street Footwear,45.00,825,37125,16706.25,In-store,2021,April,2
West Gear,1128299,2020-04-26,West,Colorado,Denver,Men's Apparel,70.00,525,36750,22050.00,In-store,2020,April,2
Kohl's,1189833,2021-04-09,West,California,Los Angeles,Men's Street Footwear,45.00,800,36000,14400.00,Outlet,2021,April,2
Kohl's,1189833,2021-04-15,West,California,Los Angeles,Men's Street Footwear,45.00,800,36000,14400.00,Outlet,2021,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Women's Apparel,45.00,800,36000,18000.00,In-store,2020,April,2
Walmart,1128299,2021-04-19,Southeast,Florida,Orlando,Men's Street Footwear,65.00,550,35750,10725.00,Outlet,2021,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Women's Athletic Footwear,50.00,700,35000,10500.00,In-store,2020,April,2
Sports Direct,1197831,2021-04-12,South,Tennessee,Knoxville,Men's Athletic Footwear,45.00,775,34875,13950.00,Outlet,2021,April,2
Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Men's Street Footwear,45.00,775,34875,15693.75,Outlet,2021,April,2
Foot Locker,1185732,2021-04-08,Southeast,South Carolina,Charleston,Men's Street Footwear,35.00,975,34125,15356.25,Online,2021,April,2
Sports Direct,1197831,2021-04-29,South,Tennessee,Knoxville,Men's Street Footwear,50.00,675,33750,15187.50,Outlet,2021,April,2
Sports Direct,1197831,2021-04-17,South,Tennessee,Knoxville,Men's Street Footwear,40.00,825,33000,14850.00,Outlet,2021,April,2
Foot Locker,1185732,2020-04-26,Southeast,Florida,Miami,Men's Athletic Footwear,45.00,725,32625,11418.75,In-store,2020,April,2
Kohl's,1189833,2021-04-16,West,California,Los Angeles,Men's Athletic Footwear,50.00,650,32500,8125.00,Outlet,2021,April,2
Kohl's,1189833,2021-04-17,West,California,Los Angeles,Women's Street Footwear,50.00,650,32500,13000.00,Outlet,2021,April,2
Kohl's,1185732,2021-04-13,West,Wyoming,Cheyenne,Men's Street Footwear,40.00,800,32000,16000.00,In-store,2021,April,2
West Gear,1128299,2020-04-04,West,Colorado,Denver,Men's Street Footwear,60.00,525,31500,11025.00,In-store,2020,April,2
West Gear,1128299,2020-04-10,West,Colorado,Denver,Men's Street Footwear,60.00,525,31500,15750.00,In-store,2020,April,2
Kohl's,1189833,2021-04-11,West,California,Los Angeles,Women's Street Footwear,50.00,625,31250,12500.00,Outlet,2021,April,2
Sports Direct,1197831,2021-04-30,South,Tennessee,Knoxville,Men's Athletic Footwear,50.00,625,31250,14062.50,Outlet,2021,April,2
Foot Locker,1185732,2021-04-08,Southeast,South Carolina,Charleston,Men's Apparel,50.00,625,31250,10937.50,Online,2021,April,2
Sports Direct,1197831,2021-04-10,South,Tennessee,Knoxville,Women's Apparel,40.00,775,31000,17050.00,Outlet,2021,April,2
Sports Direct,1197831,2021-04-11,South,Tennessee,Knoxville,Men's Street Footwear,40.00,775,31000,12400.00,Outlet,2021,April,2
Foot Locker,1185732,2021-04-08,Southeast,South Carolina,Charleston,Women's Apparel,40.00,775,31000,15500.00,Online,2021,April,2
West Gear,1128299,2020-04-25,West,Colorado,Denver,Women's Athletic Footwear,65.00,475,30875,12350.00,In-store,2020,April,2
Kohl's,1128299,2021-04-28,West,New Mexico,Albuquerque,Men's Street Footwear,55.00,550,30250,10587.50,Online,2021,April,2
Kohl's,1189833,2021-04-10,West,California,Los Angeles,Men's Athletic Footwear,50.00,600,30000,7500.00,Outlet,2021,April,2
Foot Locker,1128299,2021-04-12,West,Hawaii,Honolulu,Men's Street Footwear,60.00,500,30000,7500.00,Outlet,2021,April,2
Kohl's,1189833,2021-04-30,West,California,Los Angeles,Women's Athletic Footwear,45.00,650,29250,10237.50,Outlet,2021,April,2
West Gear,1128299,2020-04-19,West,Colorado,Denver,Women's Athletic Footwear,65.00,450,29250,13162.50,In-store,2020,April,2
Amazon,1185732,2021-04-23,West,Alaska,Anchorage,Men's Street Footwear,55.00,525,28875,10106.25,Outlet,2021,April,2
Walmart,1128299,2021-04-19,Southeast,Florida,Orlando,Women's Apparel,75.00,375,28125,12656.25,Outlet,2021,April,2
Kohl's,1128299,2021-04-28,West,New Mexico,Albuquerque,Women's Apparel,75.00,375,28125,7031.25,Online,2021,April,2
Kohl's,1189833,2021-04-08,West,California,Los Angeles,Women's Apparel,45.00,625,28125,5625.00,Outlet,2021,April,2
Kohl's,1189833,2021-04-24,West,California,Los Angeles,Women's Athletic Footwear,45.00,625,28125,9843.75,Outlet,2021,April,2
Walmart,1128299,2021-04-19,Southeast,Florida,Orlando,Women's Street Footwear,70.00,400,28000,8400.00,Outlet,2021,April,2
Amazon,1185732,2021-04-20,Northeast,New Hampshire,Manchester,Men's Street Footwear,50.00,550,27500,11000.00,In-store,2021,April,2
West Gear,1185732,2021-04-11,Northeast,New York,Albany,Women's Apparel,45.00,600,27000,13500.00,In-store,2021,April,2
West Gear,1128299,2021-04-19,South,Louisiana,New Orleans,Men's Street Footwear,50.00,525,26250,10500.00,In-store,2021,April,2
Sports Direct,1128299,2021-04-15,Southeast,Georgia,Atlanta,Men's Street Footwear,50.00,525,26250,10500.00,Online,2021,April,2
Sports Direct,1185732,2021-04-05,Southeast,North Carolina,Charlotte,Men's Street Footwear,30.00,875,26250,10500.00,Online,2021,April,2
West Gear,1185732,2021-04-11,Northeast,New York,Albany,Men's Apparel,55.00,475,26125,9143.75,In-store,2021,April,2
Foot Locker,1128299,2021-04-26,Southeast,Virginia,Richmond,Men's Street Footwear,55.00,475,26125,9143.75,In-store,2021,April,2
West Gear,1128299,2021-04-26,West,Oregon,Portland,Men's Street Footwear,55.00,475,26125,9143.75,In-store,2021,April,2
West Gear,1128299,2020-04-09,West,Colorado,Denver,Women's Apparel,80.00,325,26000,3900.00,In-store,2020,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Women's Athletic Footwear,40.00,650,26000,7800.00,In-store,2020,April,2
Sports Direct,1197831,2021-04-13,South,Tennessee,Knoxville,Women's Street Footwear,40.00,650,26000,10400.00,Outlet,2021,April,2
West Gear,1185732,2020-04-26,Southeast,Florida,Miami,Women's Street Footwear,35.00,725,25375,6343.75,In-store,2020,April,2
Sports Direct,1185732,2021-04-18,Midwest,Michigan,Detroit,Men's Street Footwear,35.00,725,25375,12687.50,In-store,2021,April,2
Kohl's,1189833,2021-04-25,West,California,Los Angeles,Men's Apparel,50.00,500,25000,13750.00,Outlet,2021,April,2
Foot Locker,1128299,2021-04-25,West,Arizona,Phoenix,Men's Street Footwear,50.00,500,25000,8750.00,Online,2021,April,2
Kohl's,1189833,2021-04-18,West,California,Los Angeles,Women's Athletic Footwear,45.00,550,24750,8662.50,Outlet,2021,April,2
Sports Direct,1197831,2021-04-21,South,Tennessee,Knoxville,Men's Apparel,45.00,550,24750,9900.00,Outlet,2021,April,2
Walmart,1128299,2021-04-19,Southeast,Florida,Orlando,Men's Athletic Footwear,70.00,350,24500,6125.00,Outlet,2021,April,2
Sports Direct,1128299,2021-04-15,Southeast,Georgia,Atlanta,Women's Apparel,70.00,350,24500,6125.00,Online,2021,April,2
West Gear,1128299,2020-04-06,West,Colorado,Denver,Women's Street Footwear,65.00,375,24375,8531.25,In-store,2020,April,2
